model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5431706964310465,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.01307810383845409,0.00428300727265707,0.29016263690228683,0.08182930356895346,0.08182930356895346,0.40127374801339843,0.20983736309771323,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,618952398593468420.0,60,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5342126799613613,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.19856453181321304,0.1302774947761764,0.03421267996136135,0.07587934662802803,0.2574539867053053,0.18800954226086042,0.03421267996136135,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,618952398593468420.0,60,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5375365644333036,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.02612084297410355,0.04926899112225225,0.24024121334447468,0.08746343556669645,0.04579676890002982,0.12913010223336308,0.20420323109997024,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,7961064913231669200.0,65,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5455821046981868,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.24376974715366473,0.31668641382033147,0.3155290064129248,0.41275122863514657,0.5455821046981868,0.0455821046981868,0.49002654914263183,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,7961064913231669200.0,65,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5363400481887826,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.00624745559619011,0.01111365551492105,0.2969932851445508,0.08865995181121744,0.08865995181121744,0.4081043962556624,0.20300671485544924,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,7961064913231669200.0,65,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.529408505806729,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.19376035765858074,0.1254733206215441,0.02940850580672905,0.07107517247339573,0.2622581608599376,0.19281371641549272,0.02940850580672905,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,7961064913231669200.0,65,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5375295871574474,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.02612782024995974,0.04927596839810844,0.24024819062033087,0.08747041284255264,0.04580374617588601,0.12913707950921927,0.20419625382411405,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,3446611970898041900.0,55,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5509671082750148,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.2383847435768367,0.31130141024350344,0.3101440028360968,0.40736622505831854,0.5509671082750148,0.05096710827501483,0.49541155271945986,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,3446611970898041900.0,55,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5355311865809885,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.00543859398839608,0.01192251712271508,0.29780214675234484,0.08946881341901147,0.08946881341901147,0.40891325786345645,0.2021978532476552,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,3446611970898041900.0,55,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.523954245310469,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.18830609716232066,0.12001906012528402,0.02395424531046897,0.06562091197713565,0.26771242135619766,0.1982679769117528,0.02395424531046897,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,3446611970898041900.0,55,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5474397813875402,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.01621762601986687,0.03936577416801557,0.230337996390238,0.07756021861245976,0.03589355194579313,0.1192268852791264,0.21410644805420692,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,8810525594210242600.0,55,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5608773025051076,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.22847454934674394,0.3013912160134107,0.300233808606004,0.3974560308282258,0.5608773025051076,0.06087730250510759,0.5053217469495526,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,8810525594210242600.0,55,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5454413808110814,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.01534878821848895,0.00201232289262221,0.28789195252225197,0.0795586191889186,0.0795586191889186,0.3990030636333636,0.21210804747774809,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,8810525594210242600.0,55,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5338644395405618,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.19821629139241354,0.1299292543553769,0.03386443954056184,0.07553110620722853,0.2578022271261048,0.18835778268165992,0.03386443954056184,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,8810525594210242600.0,55,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5503123141494155,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.0133450932579916,0.0364932414061403,0.22746546362836273,0.0746876858505845,0.03302101918391787,0.11635435251725113,0.2169789808160822,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,456152218367926270.0,55,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.563749835266983,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.22560201658486856,0.2985186832515353,0.29736127584412864,0.3945834980663504,0.563749835266983,0.06374983526698297,0.5081942797114279,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,456152218367926270.0,55,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5483139135729567,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.01822132098036422,0.00086020986925306,0.2850194197603767,0.07668608642704333,0.07668608642704333,0.3961305308714883,0.21498058023962335,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,456152218367926270.0,55,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5367369723024373,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.20108882415428903,0.13280178711725238,0.03673697230243733,0.07840363896910402,0.2549296943642293,0.18548524991978443,0.03673697230243733,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,456152218367926270.0,55,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5598278384783217,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.00382956892908537,0.02697771707723406,0.2179499392994565,0.06517216152167826,0.02350549485501163,0.10683882818834489,0.22649450514498842,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,2628232465145449500.0,55,false
