model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,5108037849753243600.0,15,true,0.0,0.06545075221691629,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,3413911939801646100.0,15,true,0.0,0.06741129434818446,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,7500710846097874900.0,15,true,0.0,0.06624835176370222,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,3794282318118145000.0,15,true,0.0,0.06012321567349896,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,5576601392690618400.0,15,true,0.0,0.05779244460009744,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,7179043909987328000.0,15,true,0.0,0.06526301561569678,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,4432464224430073900.0,15,true,0.0,0.06238603746155777,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,6603758411652679700.0,15,true,0.0,0.06368038691343161,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,4210327001835109400.0,15,true,0.0,0.06793791928969406,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,4725690850412381200.0,15,true,0.0,0.06137397117291357,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
