model_type,selected_debate_id,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index
consensus,5,0.1,0.6,0.5,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.6,0.5,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.2,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.2,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.8,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.8,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.5,0.2,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.5,0.2,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,3,0.3,0.8,0.2,0.1,2211715377675706370.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,3,0.3,0.8,0.2,0.1,6363096185690847200.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,5,0.3,0.8,0.2,0.1,6363096185690847200.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,5,0.3,0.8,0.2,0.1,2211715377675706370.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,4,0.1,0.8,0.2,0.1,6363096185690847200.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.1,0.8,0.2,0.1,2211715377675706370.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.5,0.8,0.2,0.1,2211715377675706370.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.5,0.8,0.2,0.1,6363096185690847200.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.3,0.6,0.2,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.6,0.2,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.0,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.0,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.5,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.5,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.2,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.2,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,1,0.9,0.4,0.5,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
