model_type,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,debate_id,mae_per_debatedebate_id
consensus,0.3,0.2,0.2,0.2,2211715377675706370.0,20,5,0.3455397456562647
consensus,0.3,0.2,0.2,0.2,6363096185690847200.0,20,5,0.3455397456562647
consensus,0.1,0.2,0.2,0.2,6363096185690847200.0,45,4,0.22720837153037574
consensus,0.1,0.2,0.2,0.2,2211715377675706370.0,45,4,0.22720837153037574
consensus,0.5,0.2,0.2,0.2,6363096185690847200.0,15,4,0.23097687576573545
consensus,0.5,0.2,0.2,0.2,2211715377675706370.0,15,4,0.23097687576573545
consensus,0.3,0.4,0.2,0.2,2211715377675706370.0,20,4,0.22248881348253913
consensus,0.3,0.4,0.2,0.2,6363096185690847200.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.0,0.2,6363096185690847200.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.0,0.2,2211715377675706370.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.5,0.2,6363096185690847200.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.5,0.2,2211715377675706370.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.2,0.1,2211715377675706370.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.2,0.1,6363096185690847200.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.2,0.3,2211715377675706370.0,20,4,0.22248881348253913
consensus,0.3,0.2,0.2,0.3,6363096185690847200.0,20,4,0.22248881348253913
consensus,0.9,0.8,0.0,0.3,2211715377675706370.0,15,2,0.34592592592833943
consensus,0.9,0.8,0.0,0.3,6363096185690847200.0,15,2,0.34592592592833943
consensus,0.7,0.8,0.0,0.3,6363096185690847200.0,15,1,0.08333333333333336
consensus,0.7,0.8,0.0,0.3,2211715377675706370.0,15,1,0.08333333333333336
consensus,0.9,0.6,0.0,0.3,6363096185690847200.0,15,1,0.08333333333333336
consensus,0.9,0.6,0.0,0.3,2211715377675706370.0,15,1,0.08333333333333336
consensus,0.9,0.8,0.2,0.3,6363096185690847200.0,15,1,0.08333333333333336
consensus,0.9,0.8,0.2,0.3,2211715377675706370.0,15,1,0.08333333333333336
consensus,0.9,0.8,0.0,0.2,6363096185690847200.0,15,1,0.08333333333333336
consensus,0.9,0.8,0.0,0.2,2211715377675706370.0,15,1,0.08333333333333336
consensus,0.9,0.2,0.0,0.2,2211715377675706370.0,15,1,0.08333333333333336
consensus,0.9,0.2,0.0,0.2,6363096185690847200.0,15,1,0.08333333333333336
consensus,0.9,0.2,0.0,0.2,2211715377675706370.0,15,3,0.22222222221486074
consensus,0.9,0.2,0.0,0.2,6363096185690847200.0,15,3,0.22222222221486074
consensus,0.7,0.2,0.0,0.2,6363096185690847200.0,15,2,0.34488015038819997
consensus,0.7,0.2,0.0,0.2,2211715377675706370.0,15,2,0.34488015038819997
