model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,homophily_strength,convergence_cycle,use_distinct_agents
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.48377191937079944,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.01154969714857712,0.00460525270413287,0.07178363618475558,0.34956141396253393,0.05789474729586719,0.46067252507364553,0.23845030285142232,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,4398895106259038200.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5126907741803399,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.10875558899515458,0.0543574408470065,0.09842033693077168,0.07064255915299344,0.13769077418033993,0.4873092258196601,0.1539758924863267,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,5702577027890589700.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5262272843990197,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.12229209921383433,0.06789395106568624,0.08488382671209194,0.0571060489343137,0.15122728439901967,0.47377271560098033,0.14043938226764696,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,4342572612484808700.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5305647094870041,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.12662952430181873,0.07223137615367065,0.08054640162410753,0.0527686238463293,0.15556470948700407,0.46943529051299593,0.13610195717966256,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,8636175130330607600.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.4983401804353849,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.09440499525019957,0.04000684710205149,0.11277093067572669,0.08499315289794845,0.12334018043538492,0.5016598195646151,0.1683264862312817,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,109591146466576384.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5838894552487446,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.11166723302652226,0.10472278858207801,0.02833389969318956,0.2494438780845888,0.04222278858207795,0.3605549891957004,0.13833276697347718,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,4692690466958798800.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5136890035369235,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.04146678131470116,0.03452233687025691,0.04186655201863154,0.3196443297964099,0.02797766312974315,0.4307554409075215,0.20853321868529828,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,5702577027890589700.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.527303228169429,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.17987269775649695,0.17061343849723765,0.3615856607194594,0.26436343849723765,0.19396989483609567,0.13936343849723765,0.19396989483609567,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,4286360386944651300.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5315629388435875,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.0593407166213652,0.05239627217692094,0.02399261671196751,0.30177039448974585,0.01010372782307911,0.41288150560085746,0.19065928337863425,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,8636175130330607600.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5272255137556032,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.0550032915333809,0.04805884708893665,0.0283300417999518,0.30610781957773014,0.0144411529110634,0.41721893068884175,0.19499670846661854,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,4342572612484808700.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5431424892793744,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.07092026705715204,0.06397582261270779,0.01241306627618066,0.290190844053959,0.00147582261270773,0.4013019551650706,0.1790797329428474,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,7128893484183252000.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.49933840979196853,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.02711618756974621,0.02017174312530196,0.0562171457635865,0.33399492354136484,0.0423282568746981,0.44510603465247645,0.22288381243025324,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,109591146466576384.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.4857234567353572,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.0135012345131349,0.00655679006869064,0.06983209882019781,0.34760987659797615,0.05594320993130941,0.45872098770908776,0.23649876548686455,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,1841142524168585220.0,0.3,25,true
