model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,8636175130330607600.0,25,true,0.0,0.09584893013378586,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,4286360386944651300.0,25,true,0.0,0.09328416465829525,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,109591146466576384.0,25,true,0.0,0.08510742044991283,0.00000360474343644,0.00000208096373615,2,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,4342572612484808700.0,25,true,0.0,0.09440312177112442,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,7240713591891685400.0,30,true,0.0,0.08455185684766392,0.00000295738759018,0.00000279302231684,2,2,-0.5,0.0,1.0
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,7139002048363152400.0,15,true,0.0,0.07131692637362237,0.00000488720502884,0.00000292038606546,1,3,-0.2,0.0,0.3
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,4692690466958798800.0,25,true,0.0,0.06548049940219841,0.00000152590161485,0.0000010161348011,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,6905470370856337400.0,25,true,0.0,0.06748344975734716,0.00000350767228256,0.00000230495334959,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,4286360386944651300.0,20,true,0.0,0.06649424084096173,0.00001108873669449,0.00000568110670697,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,109591146466576384.0,25,true,0.0,0.08803180892602719,0.00001398484737851,0.00001318611561532,1,2,-0.5,0.0,1.0
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,7240713591891685400.0,20,true,0.0,0.08037989119007698,0.00000342471952599,0.0000030168072217,1,3,-0.2,0.0,0.3
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,8636175130330607600.0,25,true,0.0,0.08748764503182568,0.00000883370972207,0.00000713581257625,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,7043372089166577700.0,25,true,0.0,0.0802755669875341,0.000007953710357,0.00000619969080368,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,5702577027890589700.0,25,true,0.0,0.08320644782627634,0.00000598518446579,0.00000423051271273,2,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,4342572612484808700.0,25,true,0.0,0.06584422381945287,0.00000319843148363,0.00000213307674666,1,2,-0.5,0.0,1.0
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,4692690466958798800.0,20,true,0.0,0.07481891334358158,0.00000139921540165,0.00000091543022232,1,3,-0.2,0.0,0.3
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,4477927936947039200.0,25,true,0.0,0.07362325607127534,0.00000845756222476,0.00000758088018386,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,4398895106259038200.0,25,true,0.0,0.08364359924926434,0.00000636763481449,0.00000423174827582,2,2,-0.5,0.0,1.0
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,8636175130330607600.0,20,true,0.0,0.08054093536654616,0.00000319309501429,0.00000300966296424,1,3,-0.2,0.0,0.3
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,8803618445054126100.0,30,true,0.0,0.09450333846785619,0.00000396907391808,0.00000329265745698,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,1841142524168585220.0,30,true,0.0,0.07910905129930826,0.00000104980414784,0.00000058234419025,1,2,-0.5,0.0,1.0
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,7128893484183252000.0,30,true,0.0,0.08542692038630123,0.00000301628894079,0.00000259119111098,1,2,-0.5,0.0,1.0
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,8803618445054126100.0,15,true,0.0,0.08513016361434812,0.00002166392600089,0.00002349216858411,1,3,-0.2,1.0,0.3
