model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
bipolarization,heterogeneous,20,M16,bipol_dist_nospeak,true,false,7139002048363152400.0,0,0,0.01,0.3,0.7,0.2,0.0,0.005,0.01,0.0,45,0.01252610529728226,0.09100078735632675,0.00428785907549517,0.00245943624072149,2,3,0.39999999999999997,0.0
clustering,homogeneous,6,H18,clst_dist_speak,true,true,8636175130330607600.0,0,0,0.05,0.2,0.0,0.0,0.02,0.02,0.0,0.0,25,0.00975649903013544,0.07347840407380993,0.00808003816339354,0.00657246389267856,3,2,0.0,0.0
bipolarization,heterogeneous,21,M18,bipol_dist_speak,true,true,6905470370856337400.0,0,0,0.01,0.3,0.7,0.1,0.005,0.01,0.01,0.0,15,0.00977608125904969,0.03454111575731859,0.00856894391789346,0.00617422944750392,3,3,0.39999999999999997,0.0
consensus,heterogeneous,28,M26,cons_dist_speak,true,true,7139002048363152400.0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.04088593575853047,0.05632709274612914,0.02776430058191257,0.01854495326212683,3,3,0.0,0.0
clustering,heterogeneous,40,M6,clst_dist_nospeak,true,false,4692690466958798800.0,0,0,0.02,0.6,0.0,0.0,0.02,0.005,0.0,0.0,75,0.02801205751790883,0.11631321610295496,0.00082596987100859,0.00022324385523206,1,3,0.0,0.0
consensus,homogeneous,2,H12,cons_dist_nospeak,true,false,4692690466958798800.0,0,0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,40,0.00771504468878602,0.02827381633325549,0.00340571652179019,0.00308462723930969,2,3,0.0,0.0
clustering,homogeneous,11,H4,clst_dist_nospeak,true,false,4692690466958798800.0,0,0,0.02,0.3,0.0,0.0,0.02,0.02,0.0,0.0,30,0.00232084297839506,0.04604164709535163,0.00022061543170168,0.00019227778217343,2,2,0.0,0.0
bipolarization,heterogeneous,17,M13,bipol_dist_speak,true,true,7240713591891685400.0,0,0,0.02,0.2,0.4,0.05,0.0,0.01,0.02,0.01,50,0.03278937715525453,0.23985099275626967,0.15540618177498228,0.11663548708998933,5,5,0.2,2.6666666666666665
clustering,heterogeneous,35,M34,clst_dist_nospeak,true,false,8636175130330607600.0,0,0,0.05,0.1,0.0,0.0,0.0,0.01,0.0,0.0,30,0.03352094317986969,0.05628242845390696,0.0313722938809837,0.03291393115006166,2,4,0.0,0.0
bipolarization,homogeneous,11,H4,bipol_ndist_speak,false,true,4692690466958798800.0,0,0,0.01,0.3,0.7,0.2,0.05,0.1,0.1,0.05,15,0.00232084297839506,0.05441668380416766,0.00195058042311104,0.00100433596273301,2,2,0.39999999999999997,0.0
consensus,homogeneous,9,H21,cons_dist_nospeak,true,false,7240713591891685400.0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.00128224062821502,0.03653746765914652,0.0001669882875855,0.00005729488057615,1,1,0.0,0.0
clustering,heterogeneous,28,M26,clst_dist_speak,true,true,6905470370856337400.0,0,0,0.1,0.4,0.0,0.0,0.005,0.01,0.0,0.0,95,0.04088593575853047,0.16323206534135984,0.00384636471471413,0.00208374159742478,2,3,0.0,0.0
bipolarization,heterogeneous,37,M36,bipol_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.02,0.1,0.5,0.2,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.04166666666666653,0.02855030368548523,0.01334445641146547,4,4,0.4,0.0
consensus,homogeneous,9,H21,cons_dist_nospeak,true,false,4692690466958798800.0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.00128224062821502,0.03653746765914652,0.0001669882875855,0.00005729488057615,1,1,0.0,0.0
bipolarization,heterogeneous,21,M18,bipol_dist_speak,true,true,8636175130330607600.0,0,0,0.01,0.3,0.7,0.1,0.005,0.01,0.01,0.0,15,0.00977608125904969,0.03495234570117021,0.00869879030196652,0.00651586247295485,3,3,0.39999999999999997,0.0
bipolarization,heterogeneous,18,M14,bipol_ndist_speak,false,true,6905470370856337400.0,0,0,0.005,0.3,0.5,0.1,0.05,0.1,0.1,0.05,15,0.0108926683241884,0.02742114990723281,0.01035260284888963,0.00718918908303051,4,4,0.2,0.0
clustering,heterogeneous,19,M15,clst_dist_nospeak,true,false,7139002048363152400.0,0,0,0.01,0.3,0.0,0.0,0.01,0.02,0.0,0.0,80,0.02458731638660266,0.08616428036848693,0.00165496355207125,0.00105638407074349,2,5,0.0,0.0
bipolarization,homogeneous,2,H12,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.01,0.2,0.7,0.05,0.05,0.1,0.1,0.05,55,0.00771504468878602,0.02222961925226655,0.00214094742203362,0.00161088491523031,2,3,0.49999999999999994,0.0
