model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,experiment_id
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.5326405629673794,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.10208500741182397,0.06736278518960165,0.13402610369928725,0.03264056296737938,0.09235943703262062,0.4118038814770656,0.14375167407849104,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1229570454044760060.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5327791337449553,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.09180691152273301,0.04319580041162202,0.1338875329217113,0.17555419958837803,0.09222086625504466,0.46722086625504466,0.03277913374495534,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1229570454044760060.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.5315319967467718,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.1843097745245495,0.16231903378380924,0.19069022547545,0.07319866341343845,0.46846800325322824,0.4129124476976732,0.07957911436433984,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1229570454044760060.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.550732952497924,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.1772763067613352,0.20736889935392766,0.36593371416874265,0.24093371416874265,0.2590662858312573,0.1714892697242978,0.550732952497924,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.5537836732696346,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.3096422526562913,0.40454966006369875,0.4462163267303654,0.4462163267303654,0.4704503399363013,0.387117006602968,0.5537836732696346,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.5473954118245997,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,-0.03246569928651144,0.06371569928651111,0.14704903261984525,0.20260458817540028,0.11927125484206691,0.04739541182459972,0.2140620784912664,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.544031796614765,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.11347624105920956,0.07875401883698724,0.12263487005190166,0.04403179661476497,0.08096820338523503,0.40041264782968,0.15514290772587663,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5442664674433582,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.10329424522113584,0.05468313411002484,0.12240019922330847,0.1640668658899752,0.08073353255664184,0.45573353255664184,0.04426646744335816,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.5421544299860201,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.19493220776379788,0.17294146702305763,0.18006779223620162,0.08382109665268683,0.45784557001397985,0.4022900144584248,0.06895668112509146,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6344604952114024400.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.5742124920178449,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.15379676724141433,0.18388935983400678,0.3424541746488218,0.21745417464882177,0.28254582535117817,0.1480097302043769,0.5742124920178449,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.5760139121263322,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.2874120137995937,0.38231942120700113,0.42398608787366776,0.42398608787366776,0.4926805787929989,0.4093472454596656,0.5760139121263322,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.5722417076256535,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,-0.00761940348545764,0.03886940348545731,0.12220273681879146,0.17775829237434648,0.09442495904101311,0.07224170762565352,0.2389083742923202,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.5702555264803981,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.1396999709248427,0.10497774870262039,0.0964111401862685,0.07025552648039812,0.05474447351960188,0.37418891796404685,0.18136663759150978,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5703940972579742,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.12942187503575187,0.08081076392464087,0.09627256940869244,0.13793923607535918,0.05460590274202581,0.4296059027420258,0.07039409725797419,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
