model_type,current_condition,selected_debate_id,debate_label,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,current_experiment_id
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7964433397736931300.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4383894457997634600.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,1954477272879365120.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7787128120875066400.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3299895173562800100.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3452861078975273000.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2040693430813089790.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3008069215328862200.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,8046790094384007200.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4029181368031619100.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7806294296648646700.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2762184992758753300.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4250442819423156200.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,40402427797069824.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3237022581511236600.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,1954477272879365120.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4383894457997634600.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7964433397736931300.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3452861078975273000.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7787128120875066400.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,43,M36,2,2,0.1,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3299895173562800100.0,35,false,0.02855030368548523,0.17685068024662354,0.00001983027418489,0.0000097048449833,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2040693430813089790.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3008069215328862200.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,8046790094384007200.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4029181368031619100.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4250442819423156200.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,40402427797069824.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2762184992758753300.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7806294296648646700.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7964433397736931300.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,1954477272879365120.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,27,M16,2,2,0.5,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3237022581511236600.0,15,false,0.01252610529728226,0.15132188155406318,0.00000000011803278,0.00000000006076113,1,3,0.0,0.0,cons_ndist_nospeak
