model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7043372089166577700.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,5702577027890589700.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,5702577027890589700.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,6872698498072871900.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4286360386944651300.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4490502852978390000.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,2595646474777646100.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,7139002048363152400.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,8803618445054126100.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4477927936947039200.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4398895106259038200.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,8636175130330607600.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,6872698498072871900.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4200730711560847400.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7128893484183252000.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4342572612484808700.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7924300342041792500.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,115109577693645824.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,6905470370856337400.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,109591146466576384.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,8636175130330607600.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4398895106259038200.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,7240713591891685400.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7043372089166577700.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,3407647030800275500.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4692690466958798800.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,1841142524168585220.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4910962305337055200.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,6905470370856337400.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,22746047218290688.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,109591146466576384.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4477927936947039200.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,997606725876738050.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,2787618399357031400.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,2595646474777646100.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,5702577027890589700.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,256029315321952256.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,3407647030800275500.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4910962305337055200.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,1285926408638267390.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,7128893484183252000.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4286360386944651300.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,22746047218290688.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,8803618445054126100.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,360045816003429380.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,4490502852978390000.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,997606725876738050.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,1831297316135118850.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,7924300342041792500.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,115109577693645824.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,7043372089166577700.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,6872698498072871900.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
consensus,heterogeneous,37,3,3,0.3,0.8,0.5,0.3,256029315321952256.0,15,0.09961218857779391,0.00000216290091371,0.00000144018284123,1,3,-0.30000000000000004,0.0
