model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
no_change,heterogeneous,35,M33,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01846828382201646,0.02343749999999999,0.01846828382201646,0.01452519504458163,3,3,0.0,0.0
clustering,homogeneous,24,H12,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,50,0.00771504468878602,0.08350253583311244,0.00047337283200492,0.00029685202648296,1,3,0.0,0.0
consensus,heterogeneous,11,M10,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01932656035665295,0.10315001289706167,0.00000319956230611,0.00000219004057519,1,3,0.0,0.0
clustering,homogeneous,33,H15,clst_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.5,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00240269204389574,0.04410486455504146,0.00000000006829704,0.00000000000000922,1,3,0.0,0.0
consensus,heterogeneous,9,M9,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01965549714934841,0.10753128520096392,0.00000167210477325,0.00000099546484287,1,3,0.0,0.0
consensus,heterogeneous,12,M13,cons_dist_nospeak,true,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,35,0.03278937715525453,0.18368684696111495,0.00005289402064249,0.0000193657315286,1,5,0.0,0.0
no_change,heterogeneous,13,M14,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0108926683241884,0.0275848765432099,0.0108926683241884,0.00770009335467155,4,4,0.0,0.0
no_change,heterogeneous,13,M14,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0108926683241884,0.0275848765432099,0.0108926683241884,0.00770009335467155,4,4,0.0,0.0
consensus,heterogeneous,1,M1,cons_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0306388856143309,0.1749579043360641,0.00003202204380024,0.00000066911095949,1,3,0.0,0.0
consensus,heterogeneous,1,M1,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0306388856143309,0.1749579043360641,0.00003202204380024,0.00000066911095949,1,3,0.0,0.0
