model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,current_experiment_id,speaking_mode
bipolarization,heterogeneous,14,M15,84,0,0,0,0.694444444444445,0.75,0.5833333333333334,0.8888888888888884,0.6111111111111116,0.5138888888888891,0.02458731638660266,0.5930855474348262,0.6388888888888884,0.7916666666666666,0.5416666666666666,0.6666666666666666,0.7222222222222218,0.5358796296296297,0.6722222222222219,0.07919665854593716,0.05720591780519657,0.04580334145406217,0.1985811192318404,0.05141888076815959,0.07358111923184041,0.12913667478739554,0.5,0.4367872734188086,0.8,0.3599038257013428,0.5,0.4,0.8,0.3,7139002048363152400.0,15,true,nil,false
bipolarization,heterogeneous,14,M15,85,0,0,0,0.5,0.75,0.875,1.0,0.27777777777777835,0.45370370370370355,0.02458731638660266,0.5930863267164188,0.5277777777777782,0.8333333333333334,0.625,1.0,0.27777777777777835,0.5231481481481483,0.652777777777778,0.13938262301271526,0.06993817856827056,0.06530854893864058,0.24024700661691456,0.03191367328358119,0.4069136732835812,0.31530854893864046,0.5,0.40163638579545297,0.8,0.09335055563343594,0.5,0.4,0.8,0.3,7139002048363152400.0,15,true,nil,false
bipolarization,heterogeneous,14,M15,86,0,0,0,0.6111111111111116,0.75,0.7083333333333334,1.0,0.6666666666666666,0.4444444444444446,0.02458731638660266,0.593086833278526,0.6388888888888884,0.7083333333333334,0.375,1.0,0.38888888888888834,0.542824074074074,0.622222222222222,0.14864238883408137,0.050262759204452,0.04580205561036244,0.11524650005480741,0.21808683327852596,0.40691316672147404,0.20419794438963762,0.5,0.3973101634590349,0.8,0.5249746120536058,0.5,0.4,0.8,0.3,7139002048363152400.0,15,true,nil,false
bipolarization,homogeneous,40,H18,253,0,0,0,0.6388888888888884,1.0,0.75,1.0,0.8333333333333334,0.4791666666666665,0.00975649903013544,0.43719341136791084,0.694444444444445,1.0,0.5833333333333334,1.0,0.7777777777777782,0.5300925925925927,0.8111111111111114,-0.04197325529875567,0.09289918122468183,0.25725103307653413,0.5628065886320892,0.14613992196542253,0.5628065886320892,0.3405843664098674,0.5,0.1,0.8,0.5789749523031291,0.5,0.1,0.8,0.3,7240713591891685400.0,15,true,nil,true
bipolarization,homogeneous,40,H18,254,0,0,0,0.6388888888888884,0.6666666666666666,0.4583333333333333,0.8333333333333334,0.7777777777777782,0.4814814814814812,0.00975649903013544,0.4371939765082465,0.5833333333333334,0.6666666666666666,0.625,0.8333333333333334,0.7777777777777782,0.4398148148148148,0.6972222222222223,-0.04428750497323469,0.00262083830656834,0.14613935682508689,0.22947269015842015,0.18780602349175352,0.3961393568250869,0.34058380126953175,0.5,0.1,0.8,0.25225150935181023,0.5,0.1,0.8,0.3,7240713591891685400.0,15,true,nil,true
bipolarization,homogeneous,40,H18,255,0,0,0,0.6666666666666666,0.375,0.75,0.8333333333333334,0.555555555555555,0.4039351851851853,0.00975649903013544,0.43717504430700227,0.7777777777777782,0.4583333333333333,0.6666666666666666,0.8333333333333334,0.6111111111111116,0.45717592592592604,0.6694444444444446,0.03323985912181698,0.02000088161892377,0.34060273347077596,0.02115828902633105,0.22949162235966436,0.3961582890263311,0.17393606680410933,0.5,0.1,0.8,0.2893462232206393,0.5,0.1,0.8,0.3,7240713591891685400.0,15,true,nil,true
bipolarization,homogeneous,40,H18,256,0,0,0,0.194444444444445,0.16666666666666666,0.8333333333333334,1.0,0.27777777777777835,0.23842592592592596,0.00975649903013544,0.23842592592592596,0.02777777777777835,0.04166666666666666,1.0,1.0,0.5,0.1006944444444442,0.5138888888888891,0.0,0.13773148148148176,0.2106481481481476,0.1967592592592593,0.7615740740740741,0.7615740740740741,0.26157407407407407,0.5,0.1,0.8,0.3599038257013428,0.5,0.1,0.8,0.3,7240713591891685400.0,15,true,nil,true
consensus,heterogeneous,18,M24,118,1,0,0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.44444444444444503,0.3333333333333333,0.6342592592592592,0.00943876457475996,0.5725565648080426,0.6666666666666666,0.75,0.5,0.555555555555555,0.3333333333333333,0.622685185185185,0.561111111111111,-0.06170269445121657,0.05012862037714239,0.094110101858624,0.17744343519195738,0.07255656480804262,0.0170010092524876,0.2392232314747093,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7043372089166577700.0,15,false,nil,true
consensus,heterogeneous,18,M24,119,1,0,0,0.694444444444445,1.0,0.5,0.7222222222222218,0.44444444444444503,0.6458333333333335,0.00943876457475996,0.572672567073756,0.7777777777777782,1.0,0.4583333333333333,0.6111111111111116,0.22222222222222165,0.7291666666666666,0.6138888888888889,-0.07316076625957746,0.1564940995929106,0.2051052107040222,0.427327432926244,0.11433923374042271,0.03843854403735558,0.35045034485153437,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7043372089166577700.0,15,false,nil,true
consensus,heterogeneous,18,M24,120,0,0,0,0.6111111111111116,0.8333333333333334,0.625,0.8333333333333334,0.6111111111111116,0.5162037037037038,0.00943876457475996,0.5713733416977684,0.6111111111111116,1.0,0.5416666666666666,0.8888888888888884,0.555555555555555,0.5717592592592594,0.7194444444444443,0.0551696379940646,0.00038591756149098,0.03973776941334317,0.42862665830223157,0.0297066750311018,0.31751554719111996,0.01581778614221341,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7043372089166577700.0,15,false,nil,true
consensus,heterogeneous,18,M24,121,0,0,0,0.4166666666666667,0.75,0.75,0.944444444444445,0.6111111111111116,0.4074074074074072,0.00943876457475996,0.5702829204000643,0.5277777777777782,0.9166666666666666,0.7916666666666666,0.8888888888888884,0.555555555555555,0.488425925925926,0.7361111111111109,0.16287551299265712,0.08185699447413836,0.04250514262228611,0.3463837462666023,0.2213837462666023,0.31860596848882405,0.01472736484450932,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7043372089166577700.0,15,false,nil,true
bipolarization,heterogeneous,9,M9,51,1,0,0,0.8333333333333334,0.7083333333333334,0.375,0.6111111111111116,0.16666666666666666,0.6932870370370369,0.01965549714934841,0.7219027262219526,0.9166666666666666,0.75,0.375,0.555555555555555,0.16666666666666666,0.7337962962962967,0.5527777777777776,0.02861568918491575,0.01189357007434411,0.194763940444714,0.02809727377804738,0.3469027262219526,0.1663471706663976,0.555236059555286,0.05,0.1,0.5,0.1,0.05,0.1,0.5,0.1,6905470370856337400.0,45,false,nil,true
