model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle
consensus,heterogeneous,51,250,0,3,3,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.548611111111111,0.552925614013369,0.7777777777777782,0.625,0.625,0.6666666666666666,0.22222222222222165,0.59837962962963,0.5833333333333333,0.00431450290225799,0.04545401561626095,0.2248521637644092,0.07207438598663096,0.07207438598663096,0.11374105265329759,0.3307033917911474,0.23385952101442958,0.6367872734188085,0.6243735900599356,0.15990382570134287,0.5,0.6,0.5,0.1,7139002048363152400.0,15
consensus,heterogeneous,51,251,0,3,3,0.5277777777777782,0.625,0.75,0.7777777777777782,0.44444444444444503,0.45949074074074064,0.4779735890135018,0.694444444444445,0.8333333333333334,0.7083333333333334,0.944444444444445,0.555555555555555,0.513888888888889,0.7472222222222223,0.01848284827276114,0.03591529987538716,0.2164708554309432,0.3553597443198316,0.23035974431983158,0.4664708554309432,0.07758196654205324,0.02285639168096248,0.601636385795453,0.3848615716019882,0.01,0.5,0.6,0.5,0.1,7128893484183252000.0,15
consensus,heterogeneous,51,251,0,3,3,0.5277777777777782,0.625,0.75,0.7777777777777782,0.44444444444444503,0.45949074074074064,0.4767205157275404,0.694444444444445,0.8333333333333334,0.7083333333333334,0.944444444444445,0.555555555555555,0.513888888888889,0.7472222222222223,0.01722977498679973,0.03716837316134858,0.2177239287169046,0.356612817605793,0.231612817605793,0.4677239287169046,0.07883503982801465,0.02285639168096248,0.601636385795453,0.3848615716019882,0.01,0.5,0.6,0.5,0.1,2595646474777646100.0,15
consensus,heterogeneous,51,252,0,3,3,0.694444444444445,0.5833333333333334,0.8333333333333334,0.944444444444445,0.5,0.4398148148148148,0.5405061264168242,0.6111111111111116,0.625,0.7916666666666666,0.944444444444445,0.555555555555555,0.4270833333333334,0.7055555555555556,0.10069131160200934,0.11342279308349074,0.07060498469428744,0.08449387358317584,0.25116054024984247,0.4039383180276208,0.01504942913873086,0.7081770210146029,0.5973101634590349,0.40184184578405624,0.3249746120536059,0.5,0.6,0.5,0.1,2595646474777646100.0,15
consensus,heterogeneous,51,251,0,3,3,0.5277777777777782,0.625,0.75,0.7777777777777782,0.44444444444444503,0.45949074074074064,0.47212087245519735,0.694444444444445,0.8333333333333334,0.7083333333333334,0.944444444444445,0.555555555555555,0.513888888888889,0.7472222222222223,0.0126301317144567,0.0417680164336916,0.22232357198924763,0.361212460878136,0.23621246087813602,0.4723235719892476,0.08343468310035768,0.02285639168096248,0.601636385795453,0.3848615716019882,0.01,0.5,0.6,0.5,0.1,7139002048363152400.0,15
consensus,heterogeneous,51,252,0,3,3,0.694444444444445,0.5833333333333334,0.8333333333333334,0.944444444444445,0.5,0.4398148148148148,0.5579623466912969,0.6111111111111116,0.625,0.7916666666666666,0.944444444444445,0.555555555555555,0.4270833333333334,0.7055555555555556,0.11814753187648203,0.13087901335796343,0.05314876441981475,0.06703765330870315,0.23370431997536978,0.3864820977531481,0.00240679113574183,0.7081770210146029,0.5973101634590349,0.40184184578405624,0.3249746120536059,0.5,0.6,0.5,0.1,7128893484183252000.0,15
consensus,heterogeneous,51,252,0,3,3,0.694444444444445,0.5833333333333334,0.8333333333333334,0.944444444444445,0.5,0.4398148148148148,0.528863087948738,0.6111111111111116,0.625,0.7916666666666666,0.944444444444445,0.555555555555555,0.4270833333333334,0.7055555555555556,0.08904827313392322,0.10177975461540462,0.08224802316237356,0.09613691205126196,0.2628035787179286,0.41558135649570693,0.02669246760681698,0.7081770210146029,0.5973101634590349,0.40184184578405624,0.3249746120536059,0.5,0.6,0.5,0.1,7139002048363152400.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5511232012163907,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.1548953173021278,0.16646939137620187,0.36554346545027594,0.36554346545027594,0.21778986788305738,0.2822101321169427,0.27334542343861234,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,4342572612484808700.0,15
consensus,heterogeneous,51,248,1,3,3,0.8888888888888884,0.875,0.4166666666666667,0.8888888888888884,0.0,0.7233796296296297,0.5521609993321848,0.8888888888888884,0.9166666666666666,0.20833333333333334,0.8333333333333334,0.0,0.7777777777777776,0.5694444444444444,-0.17121863029744488,0.2256167784455928,0.33672788955670363,0.36450566733448186,0.3438276659988514,0.2811723340011486,0.5521609993321848,0.8104404181991616,0.5752559640094217,0.8318519132591666,0.05225150935181025,0.5,0.6,0.5,0.1,4342572612484808700.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.565173650533404,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.14084486798511453,0.1524189420591886,0.35149301613326267,0.35149301613326267,0.23184031720007064,0.2681596827999294,0.2873958727556256,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,4200730711560847400.0,15
