model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,109591146466576384.0,15,0.1846732718854298,0.00096163377026839,0.00058463786896274,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4490502852978390000.0,15,0.17475310035204927,0.00096578420112675,0.00047055540065913,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4342572612484808700.0,15,0.17714345142883411,0.00106429722741601,0.0007493866738894,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,7128893484183252000.0,15,0.17909081223172302,0.00070445715310083,0.00034694447146441,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,7924300342041792500.0,15,0.17678745914574567,0.00090701453723611,0.00043613809160283,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4477927936947039200.0,15,0.17827056569592653,0.00108062938441216,0.00068786326369449,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4910962305337055200.0,15,0.16853448200083399,0.0014067277278715,0.00071959709942252,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,6872698498072871900.0,15,0.17990459569137845,0.00069763877367641,0.00037183365438919,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,3407647030800275500.0,15,0.17149232487272473,0.00117900456867627,0.00055645919533737,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,22746047218290688.0,15,0.18044988110967777,0.00062216584433071,0.00037136164258545,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4286360386944651300.0,15,0.17503333262273565,0.00103763890906876,0.00047240400642938,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,997606725876738050.0,15,0.1764361101768054,0.00125497714973153,0.00106194365699754,1,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,256029315321952256.0,15,0.17804410810115004,0.00099545238713833,0.00053416443511807,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,2595646474777646100.0,15,0.18063600295125778,0.00067910815260971,0.00031916295791109,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,1285926408638267390.0,15,0.18029777988540718,0.00092124387061003,0.00049824314849165,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,115109577693645824.0,15,0.16331412859320255,0.00159053609678732,0.00088280538700821,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,1831297316135118850.0,15,0.1834345145986174,0.00097350009431163,0.00104933744213045,2,4,0.20000000000000007,0.0
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,4200730711560847400.0,15,0.17126979957055938,0.00170239552794004,0.00138626836740358,3,4,0.20000000000000007,0.0
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,8636175130330607600.0,15,0.06052925418497912,0.00026217155177353,0.0002338831582521,1,3,-0.2,0.2
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,360045816003429380.0,15,0.18483833899545624,0.00072974247859687,0.00063049190727166,2,4,0.20000000000000007,0.0
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4692690466958798800.0,15,0.06673274015371147,0.00011583112299432,0.00006103598242974,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,5702577027890589700.0,15,0.06501800702241926,0.00011294198793411,0.00007009182088456,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4398895106259038200.0,15,0.05510248442212681,0.00012055408405304,0.00006932432035031,1,3,-0.2,0.4
consensus,heterogeneous,42,2,2,0.2,0.6,0.8,0.3,2787618399357031400.0,15,0.16790554262230514,0.00131615385302724,0.0009058754294302,2,4,0.20000000000000007,0.0
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,7139002048363152400.0,15,0.06731202028491043,0.00020098231779435,0.00010112414315988,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,7240713591891685400.0,15,0.06484868096665948,0.00016246043508177,0.00009750478681944,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,6905470370856337400.0,15,0.06404614281843832,0.00015748532542066,0.00009910528987711,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,1841142524168585220.0,15,0.06722528900793182,0.00009833159081505,0.00006610084569903,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,8803618445054126100.0,15,0.06238643236559062,0.00009432784962681,0.00004983803494999,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4342572612484808700.0,15,0.06895079523510801,0.00030038303242979,0.00016557202948091,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,109591146466576384.0,15,0.06338015728670057,0.00016975608856115,0.00009866126704666,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,7043372089166577700.0,15,0.06467794252860622,0.00013576285579112,0.00007251771815002,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,7128893484183252000.0,15,0.06532015484469608,0.00022894344690764,0.00015639382712242,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4477927936947039200.0,15,0.06388590606236828,0.00017645672203371,0.00012383365406487,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,3407647030800275500.0,15,0.06480952443479035,0.00014765675772366,0.00009992829495509,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,1831297316135118850.0,15,0.05767942315766272,0.00026451808377994,0.00020245848512937,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,2595646474777646100.0,15,0.06909422364467427,0.0000664371401931,0.000041758747568,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,1285926408638267390.0,15,0.06846275932175885,0.00016322698813627,0.00008534601524879,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,7924300342041792500.0,15,0.0646841851519803,0.00016438465392774,0.00011729552011282,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,997606725876738050.0,15,0.07092510715240091,0.00011360823770989,0.00005929082634259,2,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,22746047218290688.0,15,0.07055845462140725,0.00013279922354276,0.00008522684683267,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4286360386944651300.0,15,0.07531252358265553,0.00014350376074744,0.00009412878910837,2,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,115109577693645824.0,15,0.08044255302776418,0.00017079544864131,0.00010323424529721,2,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,2787618399357031400.0,15,0.06527929261640945,0.00016866619281329,0.00011888083767441,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,6872698498072871900.0,15,0.05609133999677298,0.00019879747403557,0.00012709662063879,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4910962305337055200.0,15,0.0635617751561883,0.00014867336765432,0.00009519057827065,1,3,-0.2,0.2
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4200730711560847400.0,15,0.06725469758215027,0.0001396188966746,0.00009686206772911,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,360045816003429380.0,15,0.06360288344110321,0.00024728294665166,0.00016565773794517,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,4490502852978390000.0,15,0.06561523115409666,0.00011059717121867,0.00006679196942275,1,3,-0.2,0.4
consensus,homogeneous,26,0,5,0.2,0.2,0.0,0.3,256029315321952256.0,15,0.05772244692434013,0.00008582641057714,0.00004440118842586,1,3,-0.2,0.4
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,8636175130330607600.0,15,0.1213950278954971,0.00077351689329049,0.00044733025864985,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,7240713591891685400.0,15,0.11714530270144415,0.00085735695615149,0.00050812274209525,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,6905470370856337400.0,15,0.12203707106965406,0.00072183206577498,0.00054534828124278,1,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,7139002048363152400.0,15,0.12311520259543245,0.00062760649785382,0.00039306701098041,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4692690466958798800.0,15,0.11754115764226948,0.00085178484837648,0.0005977076810343,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,5702577027890589700.0,15,0.12005469338917067,0.00070731406861714,0.00054840680377094,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4398895106259038200.0,15,0.1302278224020391,0.00065813989712196,0.00038412423750056,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,1841142524168585220.0,15,0.11988911842941659,0.00065625243372631,0.00041139080621216,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,8803618445054126100.0,15,0.1321268362252959,0.00038352099936821,0.00023207365396619,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4342572612484808700.0,15,0.11266979250107556,0.00136003113653231,0.00090941000773969,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,7043372089166577700.0,15,0.11477653281286238,0.0019346207344722,0.001119311706779,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4286360386944651300.0,15,0.12551173909928096,0.00075060384608652,0.00060675140526743,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4490502852978390000.0,15,0.11130185389665499,0.00118696818059553,0.00073480500265077,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,7128893484183252000.0,15,0.11252017133535556,0.00117793094690196,0.00089541271022654,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,6872698498072871900.0,15,0.12661597100336927,0.0007012152648325,0.0004203847080325,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,1831297316135118850.0,15,0.11125493580863287,0.00117048949751036,0.00074116180568521,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,109591146466576384.0,15,0.12342574970595517,0.00108808979136471,0.00069539762774672,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4477927936947039200.0,15,0.1131755832050771,0.00158082090906245,0.00101421388139588,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,3407647030800275500.0,15,0.12229107379569785,0.00070243468138572,0.00049565917607901,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,2787618399357031400.0,15,0.11902664872206144,0.00096253727877332,0.00058841959915546,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,997606725876738050.0,15,0.11812896147383946,0.00090762853941225,0.00063591766083041,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4910962305337055200.0,15,0.11802177389705215,0.00104110810681749,0.00071315758398099,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,22746047218290688.0,15,0.11789773582894414,0.00096485215962503,0.00057103402481705,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.2,0.1,7139002048363152400.0,15,0.12311520259543245,0.00062760649785382,0.00039306701098041,2,4,-0.2,0.16666666666666666
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,115109577693645824.0,15,0.11637625770339516,0.00096896444930338,0.00075492621033642,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,360045816003429380.0,15,0.11310229257402382,0.00148980264181791,0.00134200453631806,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,4200730711560847400.0,15,0.12033989681547153,0.00072084083273655,0.0004749616270896,2,4,0.19999999999999996,0.0
consensus,heterogeneous,49,3,3,0.2,0.4,0.6,0.2,7924300342041792500.0,15,0.12601119120233908,0.00092658408401811,0.00055475997732793,2,4,0.19999999999999996,0.0
